from,to,distance_m
1,2,4.5
2,1,4.5
2,3,4.5
3,2,4.5
3,C,3.6
C,3,3.6
C,4,0.9
4,C,0.9
4,5,4.5
5,4,4.5
5,6,4.71
6,5,4.71
6,7,4.5
7,6,4.5
7,8,4.5
8,7,4.5
8,9,4.5
9,8,4.5
9,10,4.5
10,9,4.5
10,A,2.25
A,10,2.25
A,11,2.25
11,A,2.25
11,12,4.5
12,11,4.5
12,13,4.31
13,12,4.31
13,14,4.5
14,13,4.5
14,15,4.5
15,14,4.5
15,16,4.5
16,15,4.5
16,17,4.5
17,16,4.5
17,18,4.5
18,17,4.5
18,19,4.5
19,18,4.5
19,20,4.5
20,19,4.5
20,K,3.15
K,20,3.15
C,22,3.6
22,C,3.6
22,23,5.4
23,22,5.4
K,21,2.55
21,K,2.55
A,24,2.93
24,A,2.93
11,25,3.6
25,11,3.6
25,26,5.4
26,25,5.4
11,27,2.93
27,11,2.93
27,B,2.25
B,27,2.25
B,28,0.9
28,B,0.9
28,29,4.5
29,28,4.5
